Comparison of all configurations(minilm): 
Chunker | Size | Overlap | Retrieved | Precision | Recall | IoU | F1 | nDCG@5 | MAP
------- | ---- | ------- | --------- | --------- | ------ | --- | -- | ------ | ---
FixedTokenChunker | 200 | 0 | 5 | 0.0918 | 0.9078 | 0.0909 | 0.1637 | 0.7887 | 0.7542
FixedTokenChunker | 200 | 100 | 5 | 0.1111 | 0.8985 | 0.1099 | 0.1934 | 0.7865 | 0.7516
FixedTokenChunker | 400 | 0 | 5 | 0.0551 | 0.9327 | 0.0549 | 0.1027 | 0.8159 | 0.7811
FixedTokenChunker | 400 | 100 | 5 | 0.0618 | 0.9535 | 0.0616 | 0.1145 | 0.8367 | 0.8073
FixedTokenChunker | 400 | 200 | 5 | 0.0696 | 0.9663 | 0.0694 | 0.1280 | 0.8587 | 0.8287
FixedTokenChunker | 600 | 0 | 5 | 0.0419 | 0.9542 | 0.0418 | 0.0796 | 0.8313 | 0.8049
FixedTokenChunker | 600 | 100 | 5 | 0.0459 | 0.9700 | 0.0459 | 0.0868 | 0.8745 | 0.8480
FixedTokenChunker | 600 | 200 | 5 | 0.0477 | 0.9475 | 0.0475 | 0.0898 | 0.8514 | 0.8191
RecursiveCharacterTextSplitter | 200 | 0 | 5 | 0.1030 | 0.9338 | 0.1022 | 0.1816 | 0.7869 | 0.7405
RecursiveCharacterTextSplitter | 200 | 100 | 5 | 0.1019 | 0.9349 | 0.1013 | 0.1800 | 0.7848 | 0.7386
RecursiveCharacterTextSplitter | 400 | 0 | 5 | 0.0742 | 0.9412 | 0.0739 | 0.1353 | 0.8177 | 0.7803
RecursiveCharacterTextSplitter | 400 | 100 | 5 | 0.0752 | 0.9433 | 0.0750 | 0.1372 | 0.8125 | 0.7730
RecursiveCharacterTextSplitter | 400 | 200 | 5 | 0.0777 | 0.9478 | 0.0775 | 0.1413 | 0.8152 | 0.7815
RecursiveCharacterTextSplitter | 600 | 0 | 5 | 0.0559 | 0.9553 | 0.0558 | 0.1043 | 0.8527 | 0.8159
RecursiveCharacterTextSplitter | 600 | 100 | 5 | 0.0560 | 0.9632 | 0.0559 | 0.1045 | 0.8386 | 0.7996
RecursiveCharacterTextSplitter | 600 | 200 | 5 | 0.0589 | 0.9562 | 0.0587 | 0.1095 | 0.8599 | 0.8246
SentenceChunker | 200 | 0 | 5 | 0.0845 | 0.8955 | 0.0836 | 0.1518 | 0.7355 | 0.6862
SentenceChunker | 200 | 100 | 5 | 0.1032 | 0.9197 | 0.1024 | 0.1818 | 0.7897 | 0.7420
SentenceChunker | 400 | 0 | 5 | 0.0537 | 0.9622 | 0.0536 | 0.1004 | 0.8559 | 0.8227
SentenceChunker | 400 | 100 | 5 | 0.0575 | 0.9631 | 0.0574 | 0.1071 | 0.8484 | 0.8242
SentenceChunker | 400 | 200 | 5 | 0.0638 | 0.9729 | 0.0637 | 0.1180 | 0.8633 | 0.8275
SentenceChunker | 600 | 0 | 5 | 0.0392 | 0.9627 | 0.0391 | 0.0745 | 0.8482 | 0.8186
SentenceChunker | 600 | 100 | 5 | 0.0409 | 0.9765 | 0.0409 | 0.0778 | 0.8796 | 0.8535
SentenceChunker | 600 | 200 | 5 | 0.0430 | 0.9583 | 0.0429 | 0.0814 | 0.8962 | 0.8739

Comparison of all configurations(e5-small):
Chunker | Size | Overlap | Retrieved | Precision | Recall | IoU | F1 | nDCG@5 | MAP
------- | ---- | ------- | --------- | --------- | ------ | --- | -- | ------ | ---
FixedTokenChunker | 200 | 0 | 5 | 0.0956 | 0.9475 | 0.0950 | 0.1705 | 0.8162 | 0.7723
FixedTokenChunker | 200 | 100 | 5 | 0.1140 | 0.9450 | 0.1131 | 0.1994 | 0.8225 | 0.7836
FixedTokenChunker | 400 | 0 | 5 | 0.0576 | 0.9819 | 0.0575 | 0.1075 | 0.8340 | 0.7882
FixedTokenChunker | 400 | 100 | 5 | 0.0628 | 0.9653 | 0.0626 | 0.1163 | 0.8492 | 0.8124
FixedTokenChunker | 400 | 200 | 5 | 0.0711 | 0.9612 | 0.0709 | 0.1304 | 0.8555 | 0.8209
FixedTokenChunker | 600 | 0 | 5 | 0.0434 | 0.9780 | 0.0434 | 0.0822 | 0.8831 | 0.8557
FixedTokenChunker | 600 | 100 | 5 | 0.0459 | 0.9895 | 0.0459 | 0.0869 | 0.9053 | 0.8840
FixedTokenChunker | 600 | 200 | 5 | 0.0492 | 0.9800 | 0.0491 | 0.0927 | 0.8985 | 0.8742
RecursiveCharacterTextSplitter | 200 | 0 | 5 | 0.1197 | 0.9427 | 0.1189 | 0.2071 | 0.8285 | 0.7820
RecursiveCharacterTextSplitter | 200 | 100 | 5 | 0.1192 | 0.9540 | 0.1186 | 0.2069 | 0.8287 | 0.7741
RecursiveCharacterTextSplitter | 400 | 0 | 5 | 0.0808 | 0.9695 | 0.0807 | 0.1468 | 0.8240 | 0.7693
RecursiveCharacterTextSplitter | 400 | 100 | 5 | 0.0821 | 0.9770 | 0.0820 | 0.1490 | 0.8316 | 0.7790
RecursiveCharacterTextSplitter | 400 | 200 | 5 | 0.0819 | 0.9685 | 0.0817 | 0.1487 | 0.8590 | 0.8172
RecursiveCharacterTextSplitter | 600 | 0 | 5 | 0.0589 | 0.9855 | 0.0589 | 0.1097 | 0.8638 | 0.8260
RecursiveCharacterTextSplitter | 600 | 100 | 5 | 0.0586 | 0.9882 | 0.0586 | 0.1092 | 0.8578 | 0.8168
RecursiveCharacterTextSplitter | 600 | 200 | 5 | 0.0655 | 0.9750 | 0.0654 | 0.1211 | 0.8526 | 0.8025
SentenceChunker | 200 | 0 | 5 | 0.0903 | 0.9489 | 0.0898 | 0.1619 | 0.8081 | 0.7580
SentenceChunker | 200 | 100 | 5 | 0.1059 | 0.9497 | 0.1051 | 0.1867 | 0.8459 | 0.8026
SentenceChunker | 400 | 0 | 5 | 0.0531 | 0.9767 | 0.0530 | 0.0995 | 0.8761 | 0.8309
SentenceChunker | 400 | 100 | 5 | 0.0587 | 0.9777 | 0.0587 | 0.1094 | 0.8952 | 0.8670
SentenceChunker | 400 | 200 | 5 | 0.0658 | 0.9784 | 0.0658 | 0.1217 | 0.8944 | 0.8657
SentenceChunker | 600 | 0 | 5 | 0.0391 | 0.9804 | 0.0391 | 0.0745 | 0.9065 | 0.8830
SentenceChunker | 600 | 100 | 5 | 0.0415 | 0.9855 | 0.0415 | 0.0788 | 0.9046 | 0.8919
SentenceChunker | 600 | 200 | 5 | 0.0453 | 0.9913 | 0.0453 | 0.0857 | 0.9260 | 0.9149
Results saved to chunking_results_e5-small.json
